,Bank Name,Job Title,URL (URL of the job posting),cluster1_tech_words.csv,cluster2_fintech_words.csv
0,Citizen,Lead Application Developer,https://jobs.citizensbank.com/job/medford/lead-application-developer/288/10902613,20,0
0,Citizen,Loan Servicing Specialist,https://jobs.citizensbank.com/job/johnston/loan-servicing-specialist/288/10902614,0,0
0,Citizen,Personal Banker,https://jobs.citizensbank.com/job/hartford/personal-banker/288/10899297,0,0
0,Citizen,Franchise Finance Portfolio Manager II,https://jobs.citizensbank.com/job/boston/franchise-finance-portfolio-manager-ii/288/10899298,0,0
0,Citizen,Associate Licensed Relationship Banker,https://jobs.citizensbank.com/job/lancaster/associate-licensed-relationship-banker/288/9898777,0,0
0,Citizen,Personal Banker,https://jobs.citizensbank.com/job/guilderland/personal-banker/288/10896970,0,0
0,Citizen,Collection Recovery Specialist,https://jobs.citizensbank.com/job/johnston/collection-recovery-specialist/288/10896971,0,0
0,Citizen,Media Relations Intern,https://jobs.citizensbank.com/job/dedham/media-relations-intern/288/10896969,10,0
0,Citizen,Small Business Relationship Banker,https://jobs.citizensbank.com/job/philadelphia/small-business-relationship-banker/288/10896973,0,0
0,Citizen,Financial Analyst,https://jobs.citizensbank.com/job/dedham/financial-analyst/288/10896972,0,0
0,Citizen,InStore Personal Banker,https://jobs.citizensbank.com/job/taylor/instore-personal-banker/288/10891014,0,0
0,Citizen,Associate Licensed Relationship Banker,https://jobs.citizensbank.com/job/canton/associate-licensed-relationship-banker/288/10891017,0,0
0,Citizen,Personal Banker,https://jobs.citizensbank.com/job/detroit/personal-banker/288/10891016,0,0
0,Citizen,Associate Licensed Relationship Banker,https://jobs.citizensbank.com/job/maynard/associate-licensed-relationship-banker/288/10891015,0,0
0,Citizen,Vice President I - Leveraged Finance,https://jobs.citizensbank.com/job/boston/vice-president-i-leveraged-finance/288/10891019,0,0
0,Citizen,Customer Service Teller,https://jobs.citizensbank.com/job/detroit/customer-service-teller/288/10891020,0,0
0,Citizen,Personal Banker,https://jobs.citizensbank.com/job/detroit/personal-banker/288/10891021,0,0
0,Citizen,Senior Customer Service Teller,https://jobs.citizensbank.com/job/southampton/senior-customer-service-teller/288/10891023,0,0
0,Citizen,Branch Manager Tier 2,https://jobs.citizensbank.com/job/cranston/branch-manager-tier-2/288/10891024,0,0
0,Citizen,InStore Personal Banker,https://jobs.citizensbank.com/job/fairhaven/instore-personal-banker/288/10888321,0,0
0,Citizen,Home Mortgage Consumer Direct Prospecting Specialist,https://jobs.citizensbank.com/job/warwick/home-mortgage-consumer-direct-prospecting-specialist/288/10888324,0,0
0,Citizen,Third Party Vendor Assessment Senior Analyst,https://jobs.citizensbank.com/job/johnston/third-party-vendor-assessment-senior-analyst/288/10888325,0,0
0,Citizen,Communications Partner,https://jobs.citizensbank.com/job/johnston/communications-partner/288/10888327,0,0
0,Citizen,Small Business Relationship Banker,https://jobs.citizensbank.com/job/raymond/small-business-relationship-banker/288/10888322,0,0
0,Citizen,Third Party Vendor Assessment Analyst,https://jobs.citizensbank.com/job/johnston/third-party-vendor-assessment-analyst/288/10888329,0,0
0,Citizen,Personal Banker,https://jobs.citizensbank.com/job/needham/personal-banker/288/10888323,0,0
0,Citizen,Small Business Relationship Banker,https://jobs.citizensbank.com/job/nashua/small-business-relationship-banker/288/10888331,0,0
0,Citizen,Relationship Banker,https://jobs.citizensbank.com/job/holyoke/relationship-banker/288/10888332,0,0
0,Citizen,Personal Banker,https://jobs.citizensbank.com/job/greenwich/personal-banker/288/10888328,0,0
0,Citizen,Relationship Banker,https://jobs.citizensbank.com/job/norwood/relationship-banker/288/10888330,0,0
0,Citizen,Workout Officer,https://jobs.citizensbank.com/job/boston/workout-officer/288/10885274,0,0
0,Citizen,Home Mortgage Credit Bureau and Disputes Support Manager I,https://jobs.citizensbank.com/job/glen-allen/home-mortgage-credit-bureau-and-disputes-support-manager-i/288/10885273,0,0
0,Citizen,Risk Manager,https://jobs.citizensbank.com/job/johnston/risk-manager/288/10885269,0,0
0,Citizen,Financial Advisor II,https://jobs.citizensbank.com/job/philadelphia/financial-advisor-ii/288/10885271,0,0
0,Citizen,CBDP Associate,https://jobs.citizensbank.com/job/boston/cbdp-associate/288/10885270,0,0
0,Citizen,Workout Officer,https://jobs.citizensbank.com/job/canton/workout-officer/288/10885275,0,0
0,Citizen,Financial Advisor II,https://jobs.citizensbank.com/job/south-dennis/financial-advisor-ii/288/10885276,0,0
0,Citizen,Relationship Banker,https://jobs.citizensbank.com/job/pittsburgh/relationship-banker/288/10877104,0,0
0,Citizen,Personal Banker,https://jobs.citizensbank.com/job/pittsburgh/personal-banker/288/10877105,0,0
0,Citizen,Customer Service Teller,https://jobs.citizensbank.com/job/cumberland/customer-service-teller/288/10877111,0,0
0,Citizen,InStore Customer Service Teller,https://jobs.citizensbank.com/job/attleboro/instore-customer-service-teller/288/10877106,0,0
0,Citizen,Customer Service Teller,https://jobs.citizensbank.com/job/concord/customer-service-teller/288/10877107,0,0
0,Citizen,Senior Project Manager,https://jobs.citizensbank.com/job/johnston/senior-project-manager/288/10877108,0,0
0,Citizen,Digital Content Coordinator,https://jobs.citizensbank.com/job/dedham/digital-content-coordinator/288/10877109,0,0
0,Citizen,Customer Service Teller,https://jobs.citizensbank.com/job/williston/customer-service-teller/288/10877112,0,0
0,Citizen,Mortgage Loan Officer (Work at Home),https://jobs.citizensbank.com/job/massachusetts/mortgage-loan-officer-work-at-home/288/10877113,0,0
0,Citizen,Associate Licensed Relationship Banker,https://jobs.citizensbank.com/job/rochester/associate-licensed-relationship-banker/288/10877115,0,0
0,Citizen,Program Manager I,https://jobs.citizensbank.com/job/johnston/program-manager-i/288/10877116,0,0
0,Citizen,Digital Banking Relationship Manager,https://jobs.citizensbank.com/job/johnston/digital-banking-relationship-manager/288/10877114,0,10
0,Citizen,Senior Finance Manager,https://jobs.citizensbank.com/job/johnston/senior-finance-manager/288/10873322,0,0
0,Citizen,Home Equity Product Services Specialist,https://jobs.citizensbank.com/job/warwick/home-equity-product-services-specialist/288/10873328,0,0
0,Citizen,Curriculum  Design Manager â€“ Mortgage Operations Training,https://jobs.citizensbank.com/job/franklin/curriculum-design-manager-mortgage-operations-training/288/10873323,0,0
0,Citizen,InStore Personal Banker,https://jobs.citizensbank.com/job/bridgeville/instore-personal-banker/288/10873327,0,0
